Entity,Code,Year,Renewables
Colombia,COL,1965,11.788209
Colombia,COL,1966,12.017394
Colombia,COL,1967,12.580107
Colombia,COL,1968,13.300462
Colombia,COL,1969,14.526139
Colombia,COL,1970,14.817516
Colombia,COL,1971,15.987799
Colombia,COL,1972,15.767954
Colombia,COL,1973,17.170427
Colombia,COL,1974,17.39551
Colombia,COL,1975,19.235607
Colombia,COL,1976,19.407125
Colombia,COL,1977,19.36701
Colombia,COL,1978,20.862885
Colombia,COL,1979,21.545105
Colombia,COL,1980,23.044971
Colombia,COL,1981,22.218885
Colombia,COL,1982,22.697723
Colombia,COL,1983,21.790188
Colombia,COL,1984,23.639833
Colombia,COL,1985,24.441961
Colombia,COL,1986,27.276325
Colombia,COL,1987,27.310854
Colombia,COL,1988,28.748077
Colombia,COL,1989,29.793999
Colombia,COL,1990,32.640934
Colombia,COL,1991,31.6998
Colombia,COL,1992,24.605455
Colombia,COL,1993,27.847397
Colombia,COL,1994,29.809082
Colombia,COL,1995,29.331577
Colombia,COL,1996,31.475914
Colombia,COL,1997,27.334064
Colombia,COL,1998,26.691463
Colombia,COL,1999,31.378248
Colombia,COL,2000,29.556067
Colombia,COL,2001,30.604485
Colombia,COL,2002,32.692554
Colombia,COL,2003,33.389133
Colombia,COL,2004,34.505455
Colombia,COL,2005,35.05353
Colombia,COL,2006,34.14272
Colombia,COL,2007,35.182762
Colombia,COL,2008,33.94141
Colombia,COL,2009,31.377745
Colombia,COL,2010,30.092037
Colombia,COL,2011,34.515675
Colombia,COL,2012,31.746134
Colombia,COL,2013,29.385107
Colombia,COL,2014,28.364685
Colombia,COL,2015,28.021618
Colombia,COL,2016,27.708813
Colombia,COL,2017,32.82906
Colombia,COL,2018,31.99955
Colombia,COL,2019,29.890343
Colombia,COL,2020,30.772787
Colombia,COL,2021,33.02041